"Copyright 2025 Quantec EasyData"
"Download Date: 2025-11-14"
"Data Set: RLQT—Location quotient for GVA at basic prices by 2016 municipality/ward-based metro region"
"Source: Quantec"
"Frequency: Annual"
"","","","","","",""
"Concept","","","","Location quotient relative to District Municipality","Location quotient relative to Province","Location quotient relative to National"
"Unit","Date","Geography","Industry","","",""
"Index","2019","P1D02: Cape Winelands (DC2)","I030413: Footwear [QSIC 317]","",1.63114963257819,2.4319010767205
"Index","2019","P1D02: Cape Winelands (DC2)","I030514: Wood and wood products [QSIC 321-322]","",1.41436856440074,1.45148582474979
"Index","2019","P1D02: Cape Winelands (DC2)","I030515: Paper and paper products [QSIC 323]","",0.76327685356588,0.73206344310119
"Index","2019","P1D02: Cape Winelands (DC2)","I030516: Printing , recorded media [QSIC 324-326]","",0.81427193569502,1.55919914172553
"Index","2019","P1D02: Cape Winelands (DC2)","I030617: Coke, petroleum products and nuclear fuel [QSIC 331-333]","",0.65699602416532,0.58247822746915
"Index","2019","P1D02: Cape Winelands (DC2)","I030618: Basic chemicals [QSIC 334]","",0.79125816559278,0.63216943278201
"Index","2019","P1D02: Cape Winelands (DC2)","I030619: Other chemical products [QSIC 335-336]","",0.83178617404085,0.68111079787181
"Index","2019","P1D02: Cape Winelands (DC2)","I030620: Rubber products [QSIC 337]","",0.98023682490355,0.66818653855034
"Index","2019","P1D02: Cape Winelands (DC2)","I030621: Plastic products [QSIC 338]","",0.76987858039239,1.12256616333275
"Index","2019","P1D02: Cape Winelands (DC2)","I030722: Glass and glass products [QSIC 341]","",1.07558776930663,1.4376928221157
"Index","2019","P1D02: Cape Winelands (DC2)","I030723: Non-metallic mineral products [QSIC 342]","",1.0834086828105,0.92024179502186
"Index","2019","P1D02: Cape Winelands (DC2)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]","",0.8549756537483,0.43176744014266
"Index","2019","P1D02: Cape Winelands (DC2)","I030825: Non-ferrous metal products [QSIC 352]","",0.81207301815905,0.32744921448308
"Index","2019","P1D02: Cape Winelands (DC2)","I030826: Structural metal products [QSIC 354]","",0.93980402875204,0.8879979954646
"Index","2019","P1D02: Cape Winelands (DC2)","I030827: Other fabricated metal products [QSIC 355]","",0.90614632150954,0.85338268543911
"Index","2019","P1D02: Cape Winelands (DC2)","I030828: Machinery and equipment [QSIC 356-359]","",0.82753877602136,0.73750184052824
"Index","2019","P1D02: Cape Winelands (DC2)","I030929: Electrical machinery [QSIC 361-366]","",0.66356227288205,0.53463901784776
"Index","2019","P1D02: Cape Winelands (DC2)","I031030: Radio, television and communication apparatus [QSIC 371-373]","",0.73365715193354,0.70861719997747
"Index","2019","P1D02: Cape Winelands (DC2)","I031031: Professional equipment [QSIC 374-376]","",0.76540191531659,0.87064835711413
"Index","2019","P1D02: Cape Winelands (DC2)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]","",0.83965047670037,0.61689371170749
"Index","2019","P1D02: Cape Winelands (DC2)","I031133: Other transport equipment [QSIC 384-387]","",0.85783781505982,1.33018101673939
"Index","2019","P1D02: Cape Winelands (DC2)","I031234: Furniture [QSIC 391]","",1.03198787308114,1.09412084113183
"Index","2019","P1D02: Cape Winelands (DC2)","I031235: Other manufacturing groups [QSIC 392, 395]","",0.98317164521482,1.21776403826479
"Index","2019","P1D02: Cape Winelands (DC2)","I041336: Electricity and gas [QSIC 41]","",0.68450939500312,0.61843789551588
"Index","2019","P1D02: Cape Winelands (DC2)","I041337: Water [QSIC 42]","",1.47842946581677,0.89070325567345
"Index","2019","P1D02: Cape Winelands (DC2)","I051438: Construction [QSIC 5]","",1.18859518479396,1.69382616628092
"Index","2019","P1D02: Cape Winelands (DC2)","I061539: Wholesale and retail trade [QSIC 61-63]","",1.07338961869722,1.14273881313187
"Index","2019","P1D02: Cape Winelands (DC2)","I061640: Catering and accommodation services [QSIC 64]","",1.2573966519789,1.45007350310593
"Index","2019","P1D02: Cape Winelands (DC2)","I071741: Transport and storage [QSIC 71-74]","",0.9238885761485,1.08812572880295
"Index","2019","P1D02: Cape Winelands (DC2)","I071842: Communication [QSIC 75]","",0.69154184855966,0.90271641644838
"Index","2019","P1D02: Cape Winelands (DC2)","I081943: Finance and insurance [QSIC 81-82]","",0.73894088437539,0.91036925634661
"Index","2019","P1D02: Cape Winelands (DC2)","I082044: Professional business services [QSIC 831-883]","",0.7901042035147,1.05376886248786
"Index","2019","P1D02: Cape Winelands (DC2)","I082045: Business activities n.e.c. [QSIC 889]","",1.08690261644279,1.15602604693192
"Index","2019","P1D02: Cape Winelands (DC2)","I092146: National and Provincial government [QSIC 911]","",0.94521381636631,0.56937751576376
"Index","2019","P1D02: Cape Winelands (DC2)","I092147: Local government [QSIC 913]","",1.046163334529,0.90377410415063
"Index","2019","P1D02: Cape Winelands (DC2)","I102248: Education (Private) [QSIC 92]","",1.02128030457039,0.5647089226609
"Index","2019","P1D02: Cape Winelands (DC2)","I102249: Health and social work (Private) [QSIC 93]","",0.92399328471123,0.7672779912264
"Index","2019","P1D02: Cape Winelands (DC2)","I102250: Other community, social and personal services [QSIC 94-96, 99]","",1.18684481449148,0.97077125757322
"Index","2019","P1D03: Overberg (DC3)","I010101: Agriculture [QSIC 11]","",3.35640289398767,3.60407955724613
"Index","2019","P1D03: Overberg (DC3)","I010102: Forestry [QSIC 12]","",2.86833043688166,1.26228330376622
"Index","2019","P1D03: Overberg (DC3)","I010103: Fishing [QSIC 13]","",1.46290464857605,8.03914726501455
"Index","2019","P1D03: Overberg (DC3)","I020204: Coal [QSIC 21]","","",0.0
"Index","2019","P1D03: Overberg (DC3)","I020205: Gold [QSIC 23]","","",0.0
"Index","2019","P1D03: Overberg (DC3)","I020206: Metals [QSIC 24]","",0.0,0.0
"Index","2019","P1D03: Overberg (DC3)","I020207: Other mining and quarrying [22, 25-29]","",0.39245127055722,0.15032725639014
"Index","2019","P1D03: Overberg (DC3)","I030308: Food [QSIC 301-304]","",1.08486570110063,1.39307488586307
"Index","2019","P1D03: Overberg (DC3)","I030309: Beverages and tobacco [QSIC 305-306]","",0.75492113268841,1.2523692135547
"Index","2019","P1D03: Overberg (DC3)","I030410: Textiles [QSIC 311-312]","",0.58634304452212,0.87050502756224
"Index","2019","P1D03: Overberg (DC3)","I030411: Wearing apparel [QSIC 313-315]","",1.15737001322123,1.97619098856055
"Index","2019","P1D03: Overberg (DC3)","I030412: Leather and leather products [QSIC 316]","",0.35887751570841,0.36197158502247
"Index","2019","P1D03: Overberg (DC3)","I030413: Footwear [QSIC 317]","",0.91381930401015,1.36242445509898
"Index","2019","P1D03: Overberg (DC3)","I030514: Wood and wood products [QSIC 321-322]","",1.19375444440529,1.22508213056932
"Index","2019","P1D03: Overberg (DC3)","I030515: Paper and paper products [QSIC 323]","",0.87126839961432,0.83563878756068
"Index","2019","P1D03: Overberg (DC3)","I030516: Printing , recorded media [QSIC 324-326]","",0.6948098284036,1.33044851556214
"Index","2019","P1D03: Overberg (DC3)","I030617: Coke, petroleum products and nuclear fuel [QSIC 331-333]","",0.45311151767323,0.40171870749974
"Index","2019","P1D03: Overberg (DC3)","I030618: Basic chemicals [QSIC 334]","",0.80576958514672,0.6437632162868
"Index","2019","P1D03: Overberg (DC3)","I030619: Other chemical products [QSIC 335-336]","",0.74153885746391,0.60721149091303
"Index","2019","P1D03: Overberg (DC3)","I030620: Rubber products [QSIC 337]","",1.24849219000154,0.85104502672234
"Index","2019","P1D03: Overberg (DC3)","I030621: Plastic products [QSIC 338]","",0.76477544053309,1.11512523397232
"Index","2019","P1D03: Overberg (DC3)","I030722: Glass and glass products [QSIC 341]","",1.56194964862091,2.08779224012192
"Index","2019","P1D03: Overberg (DC3)","I030723: Non-metallic mineral products [QSIC 342]","",1.10830585026436,0.94138932174213
"Index","2019","P1D03: Overberg (DC3)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]","",1.28206995014622,0.64745242514406
"Index","2019","P1D03: Overberg (DC3)","I030825: Non-ferrous metal products [QSIC 352]","",0.41658144997325,0.16797660495013
"Index","2019","P1D03: Overberg (DC3)","I030826: Structural metal products [QSIC 354]","",0.98928631859705,0.93475260903198
"Index","2019","P1D03: Overberg (DC3)","I030827: Other fabricated metal products [QSIC 355]","",1.21027176437298,1.13979932807229
"Index","2019","P1D03: Overberg (DC3)","I030828: Machinery and equipment [QSIC 356-359]","",0.75331693724325,0.67135540208651
"Index","2019","P1D03: Overberg (DC3)","I030929: Electrical machinery [QSIC 361-366]","",0.36739815606463,0.29601651170483
"Index","2019","P1D03: Overberg (DC3)","I031030: Radio, television and communication apparatus [QSIC 371-373]","",0.36799128335247,0.35543162380153
"Index","2019","P1D03: Overberg (DC3)","I031031: Professional equipment [QSIC 374-376]","",0.6165220710237,0.70129681873002
"Index","2019","P1D03: Overberg (DC3)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]","",0.88479952371309,0.65006485132404
"Index","2019","P1D03: Overberg (DC3)","I031133: Other transport equipment [QSIC 384-387]","",0.7929921107683,1.22962992963248
"Index","2019","P1D03: Overberg (DC3)","I031234: Furniture [QSIC 391]","",1.08730049402464,1.15276367302017
"Index","2019","P1D03: Overberg (DC3)","I031235: Other manufacturing groups [QSIC 392, 395]","",1.12930697678244,1.39876839530568
"Index","2019","P1D03: Overberg (DC3)","I041336: Electricity and gas [QSIC 41]","",0.90919003190469,0.82143148663809
"Index","2019","P1D03: Overberg (DC3)","I041337: Water [QSIC 42]","",0.98641388840422,0.59428067564776
"Index","2019","P1D03: Overberg (DC3)","I051438: Construction [QSIC 5]","",1.38938804804739,1.97996917790694
"Index","2019","P1D03: Overberg (DC3)","I061539: Wholesale and retail trade [QSIC 61-63]","",1.12099280403861,1.19341752901543
"Index","2019","P1D03: Overberg (DC3)","I061640: Catering and accommodation services [QSIC 64]","",1.31501728918887,1.51652362377292
"Index","2019","P1D03: Overberg (DC3)","I071741: Transport and storage [QSIC 71-74]","",1.04004368459898,1.22492941411722
"Index","2019","P1D03: Overberg (DC3)","I071842: Communication [QSIC 75]","",0.78031217104959,1.01859433124411
"Index","2019","P1D03: Overberg (DC3)","I081943: Finance and insurance [QSIC 81-82]","",0.6368611902218,0.78460789001858
"Index","2019","P1D03: Overberg (DC3)","I082044: Professional business services [QSIC 831-883]","",0.83749062732777,1.11696854893014
"Index","2019","P1D03: Overberg (DC3)","I082045: Business activities n.e.c. [QSIC 889]","",1.28878898771529,1.37075172720989
"Index","2019","P1D03: Overberg (DC3)","I092146: National and Provincial government [QSIC 911]","",0.81979853914208,0.49382991187952
"Index","2019","P1D03: Overberg (DC3)","I092147: Local government [QSIC 913]","",0.8869522001691,0.76623257924936
