"Copyright 2025 Quantec EasyData"
"Download Date: 2025-11-13"
"Data Set: RGVA—Regional Output and GVA at basic prices by industry and 2016 local municipal/ward-based metro region level"
"Source: Quantec"
"Frequency: Annual"
"","","","","",""
"Concept","","","","Output at basic prices","Gross value added at basic prices"
"Unit","Date","Geography","Industry","",""
"R millions current prices","2019","P4: Free State","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",2492.67,513.418
"R millions current prices","2019","P4: Free State","I030826: Structural metal products [QSIC 354]",1057.668,310.815
"R millions current prices","2019","P4: Free State","I030827: Other fabricated metal products [QSIC 355]",2738.1,843.471
"R millions current prices","2019","P4: Free State","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",5022.036,833.726
"R millions current prices","2019","P4D01: Xhariep (DC16)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",44.128,8.531
"R millions current prices","2019","P4D01: Xhariep (DC16)","I030826: Structural metal products [QSIC 354]",6.277,1.878
"R millions current prices","2019","P4D01: Xhariep (DC16)","I030827: Other fabricated metal products [QSIC 355]",71.633,21.404
"R millions current prices","2019","P4D01: Xhariep (DC16)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",49.942,6.85
"R millions current prices","2019","P4D02: Lejweleputswa (DC18)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",534.43,109.08
"R millions current prices","2019","P4D02: Lejweleputswa (DC18)","I030826: Structural metal products [QSIC 354]",259.107,76.37
"R millions current prices","2019","P4D02: Lejweleputswa (DC18)","I030827: Other fabricated metal products [QSIC 355]",702.444,219.443
"R millions current prices","2019","P4D02: Lejweleputswa (DC18)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",911.55,150.727
"R millions current prices","2019","P4D03: Thabo Mofutsanyane (DC19)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",318.067,64.622
"R millions current prices","2019","P4D03: Thabo Mofutsanyane (DC19)","I030826: Structural metal products [QSIC 354]",125.807,35.302
"R millions current prices","2019","P4D03: Thabo Mofutsanyane (DC19)","I030827: Other fabricated metal products [QSIC 355]",541.717,164.097
"R millions current prices","2019","P4D03: Thabo Mofutsanyane (DC19)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",783.82,126.486
"R millions current prices","2019","P4D04: Fezile Dabi (DC20)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",1152.852,242.672
"R millions current prices","2019","P4D04: Fezile Dabi (DC20)","I030826: Structural metal products [QSIC 354]",340.548,101.847
"R millions current prices","2019","P4D04: Fezile Dabi (DC20)","I030827: Other fabricated metal products [QSIC 355]",565.923,176.677
"R millions current prices","2019","P4D04: Fezile Dabi (DC20)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",761.181,125.537
"R millions current prices","2019","P4D05: Mangaung (MAN)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",443.193,88.513
"R millions current prices","2019","P4D05: Mangaung (MAN)","I030826: Structural metal products [QSIC 354]",325.929,95.418
"R millions current prices","2019","P4D05: Mangaung (MAN)","I030827: Other fabricated metal products [QSIC 355]",856.383,261.85
"R millions current prices","2019","P4D05: Mangaung (MAN)","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",2515.543,424.126
"R millions current prices","2019","P5: KwaZulu-Natal","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",13728.216,2848.462
"R millions current prices","2019","P5: KwaZulu-Natal","I030826: Structural metal products [QSIC 354]",6293.027,1890.445
"R millions current prices","2019","P5: KwaZulu-Natal","I030827: Other fabricated metal products [QSIC 355]",13224.019,4205.845
"R millions current prices","2019","P5: KwaZulu-Natal","I031132: Motor vehicles, parts and accessories [QSIC 381-383]",54553.302,9243.163
"R millions current prices","2019","P5D01: Ugu (DC21)","I030824: Basic iron and steel products; casting of metal [QSIC 351, 353]",522.579,106.285
"R millions current prices","2019","P5D01: Ugu (DC21)","I030826: Structural metal products [QSIC 354]",205.248,59.281
